,公司名称,发布时间,岗位名称,岗位需求,工资待遇,所属行业,招聘网址,结束时间
0,北京帕沃斯文化传媒有限公司,2018-03-02,Python开发工程师,"a) 熟悉Web的开发和应用；熟练掌握互联网相关技术体系，熟练掌握分布式应用系统的设计和开发体系（包括缓存体系、消息体系，分布式远程调用，面向服务编程等） b) 有很好的领域架构设计经验，能较好的进行业务抽象和架构设计 c) Java/C++, Python功底比较扎实, 对于技术有比较强的钻研精神与学习欲望能独立分析和解决问题 d) 3-5年以上的Python实际项目经验优先 e) 熟练掌握Django、Tornado等任一Web开发框架 f) 熟悉云平台例如amazon cloud, 阿里云等 g) 熟悉Linux编程环境以及分布式系统 h) 大型分布式系统、云平台开发经验 i) 熟悉Gevent等异步开发 j) 熟悉Linux操作系统 k) 熟悉计算机基础算法 l) 熟悉Restful service, JSON, XML等常用数据结构的解析 m) 熟悉MySQL等数据库 n) 熟悉Redis / MongoDB等NoSQL技术，熟悉git，参与过开源产品的开发者优先 o) 良好的编码风格 p) 热衷敏捷开发，有一定的项目管理知识和团队管理能力 q) 逻辑思维清晰，良好的文字和语言沟通表达能力，有良好的团队合作精神；人品正直诚实，能够独立承受工作压力",10000-18000,计软/通信/互联网/电子,https://www.zhipin.com/job_detail/1417185383.html?sid=seo_aladingb,2018-04-01
1,广州杰颉软件科技有限公司,2018-03-02,Python开发工程师(广州杰颉软件科技有限公司),岗位职责：1.负责业务系统的架构设计以及核心功能模块的实现；2.负责业务系统的功能拆分、计划制定以及跟踪开发过程；任职资格：1.精通利用python/c进行网络编程，熟练使用多进程和多线程。2.熟悉Oracle数据库，精通者优先3.精通Linux内核结构，并熟练使用各种linux操作系统命令。4.熟练使用db2、informix、mysql、postgresql5.具备良好的编程习惯（有编写单元测试习惯），并熟悉开发测试一体化基本流程，熟练使用git、reviewboard、bugzilla等常用质量管理工具6.具备良好的沟通能力，能够将问题描述清楚，并主动与团队沟通7.能过承担编程压力和学习压力，具备正面思维者优先,10000-15000,信息安全|数据服务,https://www.lagou.com/jobs/3794749.html?utm_source=m_cf_seo_ald_zhw,2018-05-02
2,北京中科网航安全技术有限公司,2018-03-02,海淀区Python开发工程师招聘,"1.网络流量分析平台的设计、相关模块开发及文档书写；2.网络用户通信行为数据分析。3.负责产品的研发工作；4.负责产品架构设计；5.负责产品前后台功能模块开发。
1.本科及以上学历，1-3年研发经验；2.熟练使用mysql，有过redis、memcache等缓存数据库，对消息队列有一定了解；3.熟悉linux及常规操作；4.熟练python，具有python数据分析经验；",12000以上,IT|互联网|通信|电子,http://www.shoudurc.com/personal/jb21355E82B2.html,2018-03-10
3,北方大贤风电科技（北京）有限公司,2018-03-02,python 开发工程师,"1、对python的基础有一定的掌握；
2、对Python相关的前沿技术有了解；
3、熟练掌握一种Python web开发框架（Tornado 、Django、flask或其他框架）, 理解HTTP协议；
4、理解数据库原理和SQL优化，了解常用数据库；
5、学习能力强，善于接受新事物，解决新问题；
6、具有团队合作精神和独立的研究能力，有工作责任心",面议,风电,http://fdjob.bjx.com.cn/job.aspx?id=586270,2018-03-17
4,百度在线网络技术（北京）有限公司,2018-03-02,Python实习生,"【百度实习】-【金融数据智能部】 –【 java/python实习生】-【北京】 工作职责： -参与百度金融平台相关产品开发和运维工作； -参与百度金融平台界面相关的开发工作； 职位要求： -计算机相关专业，本科及以上学历 -能熟练地应用以下一门或几门技术进行软件开发 1)Java; Linux/Unix Shell编程 2)Python/PHP; 网络技术及相应的开发 3)HTML/XHTML、CSS等网页制作技术，熟悉页面架构和布局 4)JavaScript、Ajax等Web开发技术,熟练运用至少一款主流的JS框架 5)熟悉W3C标准，对表现与数据分离、Web语义化等有较为深刻的理解 -热爱互联网，对互联网相关业务或技术充满好奇及热情 -快速的产品及业务学习能力，敏捷而周到的逻辑思维能力 -有责任心，敢于担当，工作积极主动 -具备良好的团队合作精神，能融入多功能团队并与其他部门同事进行良好的沟通及合作",3000-6000,计软/通信/互联网/电子,https://www.zhipin.com/job_detail/1416953562.html?sid=seo_aladingb,2018-04-01
5,会找房（北京）网络技术有限公司,2018-03-02,Python(会找房（北京）网络技术有限公司),岗位职责：1、负责数据库设计，系统设计，API接口设计，对外系统接入等；2、根据产品需求制定技术方案，项目计划；3、负责分析业务领域比较复杂的问题，提出解决方案并执行；4、配合运维人员进行数据库性能优化及问题的分析解决；5、负责对研发项目制定单元测试、压力测试方案并执行；任职要求：1.三年以上Python开发经验，有互联网开发背景；2.掌握面向对象设计开发，熟悉常见设计模式；3.熟练使用常用MVC、ORM框架；4.熟悉MySQL数据库，有Redis或memcache缓存系统使用经验；5.熟悉分布式、缓存、消息、搜索等机制，有分布式系统、集群架构设计和使用经验优先；6.熟悉HTML/CSS/JS等前端技术优先；7.有责任心、有想法，热爱技术，喜欢钻研；8.有较强的逻辑思维能力，善于分析、归纳、快速定位并解决问题。,15000-25000,移动互联网、金融,https://www.lagou.com/jobs/2463968.html?utm_source=m_cf_seo_ald_zhw,2018-05-02
6,北京中科网航安全技术有限公司,2018-03-02,海淀区Python开发实习生招聘,"1、完成软件系统代码的实现，编写代码注释和开发文档；2、辅助进行系统的功能定义,程序设计；3、根据设计文档或需求说明完成代码编写，调试，测试和维护；4、分析并解决软件开发过程中的问题；5、协助测试工程师制定测试计划，定位发现的问题；6、配合项目经理完成相关任务目标。
1、熟悉python编程语言，有一定的代码编写能力；2、熟悉xml、json等数据结构；3、了解mysql数据库；4、了解web网络协议，熟悉网络爬虫和网络数据分析；5、学习能力强。6、能够保证每周4天实习时间，实习期不少于6个月。",3000以上,IT|互联网|通信|电子,http://www.shoudurc.com/personal/jb2CD9FA5E79.html,2018-03-10
7,北京小象科技有限公司,2018-03-02,Python讲师,岗位职责： 1. 研发 Python 课程内容、课件、讲义； 2. 按照教学大纲、教学进度，进行备课，完善课件、讲义，积极主动高质量地完成教学、辅导工作； 3. 配合市场部门的招生宣传工作； 4. 新技术学习能力强大。 任职资格: 1. 985、211高校计算机相关专业本科及以上学历； 2. 有 Python 开发经验者优先； 3. 有授课/讲座经验者优先； 4. 扎实的Python编程基础，熟悉常用的开源库；,8000-16000,计软/通信/互联网/电子,https://www.zhipin.com/job_detail/1416246807.html?sid=seo_aladingb,2018-04-01
8,北京百观科技有限公司,2018-03-02,Python数据与爬虫工程师(北京百观科技有限公司),职位描述：数据工程师将是团队核心成员。我们会一起挑战有趣的技术难题，在自由开放的氛围下，将前沿的数据抓取与存储技术转化成业界独一无二，极具价值的产品。职责：-探索并实践前沿爬虫技术与存储技术-分布式爬虫系统的开发，维护，与优化-对接第三方数据源，清洗入库-编写数据分析脚本要求：-热爱技术，对解决具有挑战性问题富有激情，学习能力和求知欲强-具备强悍的编码能力，内功扎实-熟悉linux开发环境，熟悉python，毕竟lifeisshort-有过分布式爬虫开发经验者优先-熟悉scrapy/redis/mongodb/mysql者优先-一线大学计算机或相关专业-阅读英文技术文档无障碍加分：-有过Android或iOSapp开发经验-有过逆向工程、反编译、破解app经验-有个人博客、参与开源项目、可提供Github/StackOverflow/知乎等id关于我们：百观Lab（BigOneLab）是一个年轻开放，硅谷风格的金融数据技术公司，致力于给全球投资机构抓取、分析、可视化非常规数据的产品。我们的客户是位于北京，纽约，和新加坡的数家国际一流投资机构，涉及的投资决策上千万美金。百观Lab于2016年获得了徐小平真格基金领投的百万美元天使融资。我们位于北京，是一个快速成长的国际化创业团队，成员来自国际一流技术与金融公司。为了做出最棒的产品，我们需要同样充满好奇心，技艺高超的小伙伴。我们提供：-极有竞争力的待遇+期权激励-有趣的同事-超棒的办公环境，紧邻雍和宫五道营#我们也不喜欢西二旗-弹性工作制#我们也不相信996-HermanMiller座椅-和百观技术顾问团交流学习的机会(百度机器学习T9，前豌豆荚资深架构师，斯坦福AI博士等)-MacBookPro，零食饮料，免费午餐，免费口罩...,17000-26000,数据服务|金融,https://www.lagou.com/jobs/3720481.html?utm_source=m_cf_seo_ald_zhw,2018-05-02
9,北京博派通达科技有限公司,2018-03-02,Python 高级工程师(模拟请求、爬虫方向),我们是一家创业公司，在做互联网保险相关的产品，期待你的加入。 ## 工作地点 北京 - 惠新西街南口地铁附近 ## 工作环境 - 标配 MacBook Pro + U2415 显示器 - Ergonor 工作椅 - 凸墙环境和服务 - 无限零食、饮料、水果 - 扁平化层级 - 很多绿植 - 介绍对象 - 持续招妹子 - 报销所有专业书籍 ## 薪资范围 10 - 30K ## Python 高级工程师（模拟请求方向） ### 工作职责 - 通过模拟请求将人工复杂操作转变为自动化操作 - 将自动化操作融入整套系统 - 获取业务所需数据 ### 职位要求 - 一年以上 Python 开发经验 - 精通网络编程、熟悉 HTTP 协议 - 熟悉 HTML、XPath、CSS、JavaScript - 熟悉正则表达式，从结构化的和非结构化的数据中获取信息 - 拥有良好的编码习惯，结构清晰，命名规范，逻辑性强，认同单元测试 - 善于思考，能独立分析和解决问题 - 责任心强，具备良好的团队合作精神 - 熟练使用 Git，熟悉 Pull Request 工作流 - 如果您有 Blog、GitHub、Stack Overflow、微博、Twitter 帐号，强烈建议您附注在简历中 工作地址 北京市朝阳区北土城东路4号院1号楼,10000-20000,计软/通信/互联网/电子,https://www.zhipin.com/job_detail/1414874996.html?sid=seo_aladingb,2018-04-01
